========================================
KAFKA STREAMING ANALYTICS REPORT
Generated: 2026-02-19T06:47:45.685896028Z
========================================

OVERALL METRICS:
  Total Orders: 0
  Total Failed: 6542
  Failure Rate: 0.00%

ORDERS PER MINUTE (Event Time):
  Minute Bucket                    | Orders | Failed | Failure Rate
  ----------------------------------|--------|--------|-------------
  2026-02-19T05:47:00Z                |      0 |     11 |       0.00%
  2026-02-19T05:48:00Z                |      0 |     41 |       0.00%
  2026-02-19T05:49:00Z                |      0 |     36 |       0.00%
  2026-02-19T05:50:00Z                |      0 |     34 |       0.00%
  2026-02-19T05:51:00Z                |      0 |     61 |       0.00%
  2026-02-19T05:52:00Z                |      0 |     74 |       0.00%
  2026-02-19T05:53:00Z                |      0 |     68 |       0.00%
  2026-02-19T05:54:00Z                |      0 |     68 |       0.00%
  2026-02-19T05:55:00Z                |      0 |     63 |       0.00%
  2026-02-19T05:56:00Z                |      0 |     66 |       0.00%
  2026-02-19T05:57:00Z                |      0 |     20 |       0.00%
  2026-02-19T06:02:00Z                |      0 |    142 |       0.00%
  2026-02-19T06:03:00Z                |      0 |    200 |       0.00%
  2026-02-19T06:04:00Z                |      0 |    200 |       0.00%
  2026-02-19T06:05:00Z                |      0 |    200 |       0.00%
  2026-02-19T06:06:00Z                |      0 |    200 |       0.00%
  2026-02-19T06:07:00Z                |      0 |    346 |       0.00%
  2026-02-19T06:08:00Z                |      0 |    400 |       0.00%
  2026-02-19T06:09:00Z                |      0 |    400 |       0.00%
  2026-02-19T06:10:00Z                |      0 |    400 |       0.00%
  2026-02-19T06:11:00Z                |      0 |    400 |       0.00%
  2026-02-19T06:12:00Z                |      0 |    258 |       0.00%
  2026-02-19T06:13:00Z                |      0 |    215 |       0.00%
  2026-02-19T06:14:00Z                |      0 |    360 |       0.00%
  2026-02-19T06:15:00Z                |      0 |    400 |       0.00%
  2026-02-19T06:16:00Z                |      0 |    400 |       0.00%
  2026-02-19T06:17:00Z                |      0 |    254 |       0.00%
  2026-02-19T06:18:00Z                |      0 |    200 |       0.00%
  2026-02-19T06:19:00Z                |      0 |    200 |       0.00%
  2026-02-19T06:20:00Z                |      0 |    200 |       0.00%
  2026-02-19T06:21:00Z                |      0 |    200 |       0.00%
  2026-02-19T06:22:00Z                |      0 |    200 |       0.00%
  2026-02-19T06:23:00Z                |      0 |    185 |       0.00%
  2026-02-19T06:24:00Z                |      0 |     40 |       0.00%

========================================
